age,sleep_hours,sleep_deficit_hours,sleep_excess_hours,sleep_quality_score,daily_activity_hours,sleep_duration_category_ideal_sleep,sleep_duration_category_long_sleep,sleep_duration_category_short_sleep,sleep_quality_category_good,sleep_quality_category_moderate,daily_activity_category_low,daily_activity_category_very_low,occupation_Accountant,occupation_Doctor,occupation_Engineer,occupation_Lawyer,occupation_Manager,occupation_Nurse,occupation_Sales Representative,occupation_Salesperson,occupation_Scientist,occupation_Software Engineer,occupation_Teacher,gender_Female,gender_Male,stress_category,stress_category_encoded
-1.0470601430925777,-0.771754980948202,0.5311186671051875,-0.1988482553548222,-0.18756382421381337,-0.5339492347351281,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,high,0
0.17045331851159579,-0.3364833057307519,-0.3283929641383504,-0.1988482553548222,0.8180269769855488,-0.39934181588313744,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,medium,2
-1.2209906376074595,-0.24942897068726225,-0.5002952903870573,-0.1988482553548222,-0.18756382421381337,0.5429101160807981,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,medium,2
-1.5688516266372234,-0.3364833057307519,-0.3283929641383504,-0.1988482553548222,-1.1931546254131755,-0.39934181588313744,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,high,0
-0.6991991540628137,-0.4235376407742432,-0.1564906378896404,-0.1988482553548222,-0.18756382421381337,0.13908785952482547,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
-1.3949211321223414,-0.3364833057307519,-0.3283929641383504,-0.1988482553548222,-0.18756382421381337,-0.5339492347351281,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
0.5183143075413597,1.317549060095557,-0.6721976166357644,-0.1988482553548222,0.8180269769855488,-0.8704677818651052,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
-0.17740767051816803,1.665766400269519,-0.6721976166357644,1.0302112796535987,0.8180269769855488,-0.39934181588313744,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
-0.8731296485776957,-0.4235376407742432,-0.1564906378896404,-0.1988482553548222,-0.18756382421381337,0.13908785952482547,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
-0.17740767051816803,0.09878836948669814,-0.6721976166357644,-0.1988482553548222,-0.18756382421381337,0.004480440672834749,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
-0.6991991540628137,-0.24942897068726225,-0.5002952903870573,-0.1988482553548222,-0.18756382421381337,0.13908785952482547,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
0.5183143075413597,1.2304947250520675,-0.6721976166357644,-0.1988482553548222,0.8180269769855488,-0.8704677818651052,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,medium,2
0.8661752965711235,1.2304947250520675,-0.6721976166357644,-0.1988482553548222,0.8180269769855488,-0.8704677818651052,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,medium,2
-1.3949211321223414,-0.8588093159916933,0.7030209933538976,-0.1988482553548222,-0.18756382421381337,-0.8704677818651052,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,medium,2
-0.5252686595479319,-0.4235376407742432,-0.1564906378896404,-0.1988482553548222,-0.18756382421381337,0.13908785952482547,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
0.8661752965711235,0.011734034443206885,-0.6721976166357644,-0.1988482553548222,0.8180269769855488,-0.39934181588313744,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
-1.2209906376074595,0.7081687147911276,-0.6721976166357644,-0.1988482553548222,0.8180269769855488,0.6775175349327884,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,medium,2
-1.2209906376074595,0.7952230498346173,-0.6721976166357644,-0.1988482553548222,0.8180269769855488,0.6775175349327884,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium,2
